OTU	Name	TSNO-3w	TSNO-4w	TSNO-5w	TSOD-3w	TSOD-4w	TSOD-5w
66	others	0	0	0	0	0	0
72	others	0	0	0	0	0	0
86	others	0.512709383	0.726109639	0.44356308	0.372608135	0	0.576918356
106	Clostridia cluster XIVa	1.62803672	7.421665925	2.59901337	2.027766296	1.477023658	1.991800394
110	others	1.004670635	0.292120485	0.444964543	5.32835712	5.979648557	2.435331953
124	Bifidobacterium	0	0	0	0	0.665828105	2.67755583
135	others	0.797650389	1.330986052	0.444263811	2.150550706	0.854881108	2.198836343
137	Prevotella	0	0	0.447066738	0	0	0.329784535
147	others	0	0	0	0	0	0
168	Clostridia cluster IV	0	0	0	0	0	0
317	Prevotella	1.844278357	1.758526629	6.249124086	3.656179338	6.967845926	4.697997561
332	Lactobacillales	0	0	0.789724472	0	0	0
338	Clostridia cluster XI	3.889583055	1.298098315	2.959189394	6.325828491	2.015561096	1.43615846
359	others	0	0	0	0	13.08834274	19.46219753
366	Bacteroides	3.13112358	15.02002283	3.776943129	1.807726908	6.655268252	1.743029926
369	Clostridia cluster IV	0	0	0	0	0	0
469	Bacteroides	32.42886849	12.14653744	41.26538106	23.46641056	23.52165824	11.72985491
474	others	0	0	0	0	0	0.763496207
494	Clostridia cluster XIVa	0	0.548128946	0	0	0	0
505	Clostridia cluster XIVa	1.892690664	0	1.388149228	3.374747745	0	0
517	Clostridia cluster XIVa	0	0	0	0	0	0
520	Lactobacillales	0	0	0	0	0	0
650	Clostridia cluster XVIII	0.40389696	1.225229408	1.840821818	1.266138248	6.093381639	5.77163853
657	Lactobacillales	42.97767962	50.87926331	31.82722763	36.70585232	27.72752265	41.30244433
749	Clostridia cluster IV	0	0	0	0	0	0
754	Clostridia cluster XIVa	2.847104714	0.352737098	0	4.225120961	0.366054818	0
853	Bacteroides	0	0	0.453373322	0.488706266	0.790859174	0
919	others	2.947617884	2.819317354	2.301903187	3.10486518	2.118749388	2.173468302
940	others	0.356867862	1.685012865	0.570395493	1.069196917	0	0
955	Clostridia cluster XIVa	0.334275452	0.487512333	0	1.110530283	0	0
990	Clostridia cluster XIVa	3.002946235	2.008731372	2.198895647	3.519414525	1.677374649	0.709486829
