Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006954~inflammatory response	32	5.517241379310345	5.677928897870156E-11	CCL3, CCL2, PTGS2, S100A8, CCL9, CXCL9, CCL4, CCL7, TLR8, CCL6, CXCL10, CALCA, CCL22, MEFV, IL1B, THBS1, ADAM8, HIST1H2BA, TLR11, PTGER2, C5AR1, OLR1, HCK, CELA1, PTGFR, CD180, TNFRSF9, CCR7, CCR2, CLEC7A, HDAC9, XCL1	408	344	18082	4.12266301869585	1.0918648785107621E-7	1.0918648785107621E-7	9.717417981391918E-8
GOTERM_BP_DIRECT	GO:0050729~positive regulation of inflammatory response	14	2.413793103448276	1.1875295782849493E-9	TLR11, CCL3, CCL2, S100A8, CCR2, SERPINE1, CCL9, CTSS, ADAM8, XCL1, TNFSF18, CCL4, CCL7, CCL6	408	63	18082	9.848583877995644	2.2836168727113915E-6	1.1418090882786558E-6	2.032383750183442E-6
GOTERM_BP_DIRECT	GO:0006935~chemotaxis	16	2.7586206896551726	6.534262801774879E-8	CCL3, CCL2, C5AR1, S100A8, CXCL9, CCL9, CXCR1, CCL4, CCL7, CCL6, CXCL10, CCL22, CCR7, EAR2, CCR2, XCL1	408	118	18082	6.009305417082087	1.256459835835555E-4	4.188374875180312E-5	1.1182982154744892E-4
GOTERM_BP_DIRECT	GO:0002548~monocyte chemotaxis	10	1.7241379310344827	2.001308769427119E-7	CALCA, CCL22, CCL3, CCL2, CCR2, CCL9, XCL1, CCL4, CCL7, CCL6	408	40	18082	11.079656862745097	3.847776690241167E-4	9.620830042111894E-5	3.4251110870853196E-4
GOTERM_BP_DIRECT	GO:0006955~immune response	23	3.9655172413793105	2.5021546094656813E-7	FYB, TLR11, CCL3, CCL2, CCL9, CXCL9, H2-AB1, CTSS, CLNK, CCL4, MCPT9, TNFSF18, CCL7, CCL6, CXCL10, TNFRSF9, CCR7, CCL22, CCR2, IL1B, THBS1, XCL1, OAS1D	408	272	18082	3.747530997693195	4.8104865049858336E-4	9.62282480690968E-5	4.282274761346905E-4
GOTERM_BP_DIRECT	GO:0070098~chemokine-mediated signaling pathway	11	1.896551724137931	3.541130225153597E-7	CCL22, CCL3, CCL2, CCR2, CCL9, CXCL9, XCL1, CCL4, CCL7, CCL6, CXCL10	408	55	18082	8.863725490196078	6.807276624833936E-4	1.1348680367873065E-4	6.060408832553321E-4
GOTERM_BP_DIRECT	GO:0048247~lymphocyte chemotaxis	8	1.3793103448275863	7.161710007385199E-6	CCL22, CCL3, CCL2, CCL9, ADAM8, CCL4, CCL7, CCL6	408	33	18082	10.743909685086155	0.013677617282724874	0.0019654969703308822	0.012256118036280128
GOTERM_BP_DIRECT	GO:0060326~cell chemotaxis	11	1.896551724137931	9.613039816820947E-6	CCL22, CCL3, CCL2, SAA1, CCL9, CXCL9, SAA3, XCL1, CCL4, CCL6, CXCL10	408	78	18082	6.2500628456510805	0.01831614700370343	0.002308077835330602	0.01645085092933929
GOTERM_BP_DIRECT	GO:0030593~neutrophil chemotaxis	10	1.7241379310344827	2.331554086202517E-5	CCL22, CCL3, CCL2, C5AR1, S100A8, CCL9, IL1B, CCL4, CCL7, CCL6	408	69	18082	6.422989485649332	0.0438460159994557	0.004969423330452694	0.039895615915575
GOTERM_BP_DIRECT	GO:0070374~positive regulation of ERK1 and ERK2 cascade	16	2.7586206896551726	2.4139207817434E-5	CCL3, CCL2, C5AR1, GCNT2, CCL9, PTPN22, FGF21, CCL4, CCL7, CCL6, CCL22, IL1B, ADRA1A, XCL1, TREM2, GPNMB	408	188	18082	3.7717980809345013	0.045359316466544786	0.004631268141710665	0.041304732255653676
