Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0007283~spermatogenesis	24	11.822660098522167	3.775879075847012E-16	TSNAXIP1, SLC22A16, H1FNT, SPATA20, ADAD1, SPINK2, MAEL, PGAM2, TNP1, CCDC155, TNP2, HSPA1L, HILS1, TCFL5, SPATA18, SPATA19, GYKL1, SLC9C1, ODF3, CATSPERG2, CREB3L4, TSSK2, TSSK1, PRSS21	112	407	18082	9.52018252018252	1.0724754417879012E-13	1.0724754417879012E-13	4.551914400963142E-13
GOTERM_BP_DIRECT	GO:0030317~sperm motility	9	4.433497536945813	8.504872131122445E-9	NSUN7, LDHC, GAPDHS, SLC22A16, SMCP, TNP1, SLC9C1, TNP2, ROPN1L	112	68	18082	21.367909663865547	2.738565090809608E-6	1.369283482821615E-6	1.1487662354703332E-5
GOTERM_BP_DIRECT	GO:0007339~binding of sperm to zona pellucida	7	3.4482758620689653	7.828908692147915E-8	HSPA1L, PMIS2, ZPBP2, SMCP, ATP8B3, TNP2, PRSS37	112	36	18082	31.39236111111111	2.520876921574544E-5	8.402993681988491E-6	1.0574623451331533E-4
GOTERM_BP_DIRECT	GO:0030154~cell differentiation	19	9.35960591133005	1.204052506856006E-6	TSNAXIP1, SLC22A16, H1FNT, SPATA20, ADAD1, SPINK2, MAEL, TNP1, TNP2, HSPA1L, HILS1, SPATA18, SPATA19, ODF3, SLC9C1, CREB3L4, TSSK2, CATSPERG2, TSSK1	112	780	18082	3.932669413919414	3.8762999267527576E-4	9.69215879497165E-5	0.0016263201867094956
GOTERM_BP_DIRECT	GO:0007275~multicellular organism development	21	10.344827586206897	4.0309650724284745E-6	TSNAXIP1, SLC22A16, H1FNT, SPATA20, ADAD1, MAEL, TNP1, TNP2, TRIML1, SPDYA, HSPA1L, HILS1, SPATA18, SPATA19, ODF3, SLC9C1, CATSPERG2, CREB3L4, TSSK2, TSSK1, DBX1	112	1029	18082	3.294825072886298	0.00129713136626175	2.595609820894573E-4	0.00544454991859844
GOTERM_BP_DIRECT	GO:0007286~spermatid development	8	3.9408866995073892	5.85300540782708E-5	FSCN3, GM10487, ADAD1, SPINK2, GM2030, TNP1, TSSK2, TSSK1	112	160	18082	8.072321428571428	0.01867073053797086	0.003136276408394423	0.0790285233301824
GOTERM_BP_DIRECT	GO:0006342~chromatin silencing	4	1.9704433497536946	0.006843615915621201	TNP1, H2AL1A, H2AL1M, H2AFB1	112	63	18082	10.250566893424036	0.890433033745489	0.27085923982697635	8.858372083229904
GOTERM_BP_DIRECT	GO:0046167~glycerol-3-phosphate biosynthetic process	2	0.9852216748768473	0.018304290878927022	GK2, GYKL1	112	3	18082	107.63095238095238	0.9973904870002531	0.524588226142052	22.08328333230081
GOTERM_BP_DIRECT	GO:0006334~nucleosome assembly	4	1.9704433497536946	0.026210328978084733	HIST1H2BP, HILS1, 1700024P04RIK, H2AFB1	112	104	18082	6.209478021978021	0.9998068998087525	0.6133578569394398	30.145052075952382
GOTERM_BP_DIRECT	GO:0000054~ribosomal subunit export from nucleus	2	0.9852216748768473	0.030322289865422077	EIF6, 1700009N14RIK	112	5	18082	64.57857142857142	0.9999505658725214	0.628975415571526	34.025761745422514
GOTERM_BP_DIRECT	GO:0007290~spermatid nucleus elongation	2	0.9852216748768473	0.030322289865422077	H1FNT, TNP1	112	5	18082	64.57857142857142	0.9999505658725214	0.628975415571526	34.025761745422514
GOTERM_BP_DIRECT	GO:0007341~penetration of zona pellucida	2	0.9852216748768473	0.04219447288858748	SMCP, TNP2	112	7	18082	46.127551020408156	0.9999990639412427	0.7169021009038271	44.138819882667335
GOTERM_BP_DIRECT	GO:0006974~cellular response to DNA damage stimulus	7	3.4482758620689653	0.04488108037132147	SPDYA, MUTYH, EID3, SPATA18, NUPR1L, MAEL, NUGGC	112	420	18082	2.69077380952381	0.9999996211230037	0.7083413554421358	46.21850750176204
